,weighted_average_recommendation_score,movieId,recomendada
147,5.0,ds85,True
148,5.0,as4954,True
149,5.0,ds868,True
150,5.0,ns7239,True
151,5.0,ds947,True
152,5.0,ds988,True
153,5.0,ns7222,True
154,5.0,as1690,True
155,5.0,as1694,True
156,5.0,as5084,True
157,5.0,ds480,True
158,5.0,ns7392,True
159,5.0,ns7412,True
160,5.0,ds159,True
161,5.0,as1555,True
162,5.0,ns7546,True
163,5.0,ns7542,True
164,5.0,ds209,True
165,5.0,ds234,True
166,5.0,ds246,True
167,5.0,as5183,True
168,5.0,as5174,True
169,5.0,ns7497,True
170,5.0,ds288,True
171,5.0,as5164,True
172,5.0,ds315,True
173,5.0,as1585,True
174,5.0,ds326,True
175,5.0,ds329,True
176,5.0,ds339,True
177,5.0,ns746,True
178,5.0,as1591,True
179,5.0,ds35,True
180,5.0,ds36,True
181,5.0,as513,True
182,5.0,as5128,True
183,5.0,as1607,True
184,5.0,ds411,True
185,5.0,ns7418,True
186,5.0,ds43,True
187,5.0,hs1001,True
188,5.0,hs102,True
189,5.0,hs1822,True
190,5.0,hs16,True
191,5.0,ns6984,True
192,5.0,ns6981,True
193,5.0,ns6972,True
194,5.0,hs1521,True
195,5.0,as4687,True
196,5.0,ns6965,True
197,5.0,ns6962,True
198,5.0,as4678,True
199,5.0,as4677,True
200,5.0,as1788,True
201,5.0,hs1545,True
202,5.0,hs1561,True
203,5.0,ns694,True
204,5.0,ns6916,True
205,5.0,as4894,True
206,5.0,hs1634,True
207,5.0,as1806,True
208,5.0,ns69,True
209,5.0,hs1636,True
210,5.0,as4635,True
211,5.0,hs1662,True
212,5.0,hs1711,True
213,5.0,hs1757,True
214,5.0,hs176,True
215,5.0,ns6847,True
216,5.0,hs1783,True
217,5.0,hs1815,True
218,5.0,as4576,True
219,5.0,hs1486,True
220,5.0,hs1469,True
221,5.0,as4711,True
222,5.0,as1766,True
223,5.0,hs1036,True
224,5.0,hs1062,True
225,5.0,ns719,True
226,5.0,hs1082,True
227,5.0,ns718,True
228,5.0,hs1137,True
229,5.0,as4838,True
230,5.0,ns7159,True
231,5.0,as4826,True
232,5.0,hs1223,True
233,5.0,hs1251,True
234,5.0,as1727,True
235,5.0,hs1260,True
236,5.0,hs1264,True
237,5.0,hs1275,True
238,5.0,as4783,True
239,5.0,hs13,True
240,5.0,hs1315,True
241,5.0,hs1337,True
242,5.0,hs1339,True
243,5.0,hs1368,True
244,5.0,hs1369,True
245,5.0,as4742,True
246,5.0,hs1376,True
247,5.0,hs1382,True
248,5.0,hs1404,True
249,5.0,hs1405,True
250,5.0,ns1107,True
251,5.0,ns1139,True
252,5.0,ns5927,True
253,5.0,ns4842,True
254,5.0,ns3256,True
255,5.0,ns3268,True
256,5.0,ns3306,True
257,5.0,ns3309,True
258,5.0,ns4902,True
259,5.0,ns490,True
260,5.0,as2485,True
261,5.0,ns489,True
262,5.0,ns4874,True
263,5.0,ns4873,True
264,5.0,ns3379,True
265,5.0,as3024,True
266,5.0,as25,True
267,5.0,ns4837,True
268,5.0,as2914,True
269,5.0,ns4828,True
270,5.0,ns3445,True
271,5.0,ns4806,True
272,5.0,as2521,True
273,5.0,ns3548,True
274,5.0,as2969,True
275,5.0,ns3592,True
276,5.0,as2951,True
277,5.0,as2947,True
278,5.0,as2942,True
279,5.0,ns3635,True
280,5.0,ns366,True
281,5.0,as293,True
282,5.0,ns3239,True
283,5.0,ns3230,True
284,5.0,ns3221,True
285,5.0,ns4987,True
286,5.0,ns2821,True
287,5.0,as3234,True
288,5.0,ns5140,True
289,5.0,ns2839,True
290,5.0,ns2841,True
291,5.0,ns2875,True
292,5.0,as3204,True
293,5.0,ns2935,True
294,5.0,as3185,True
295,5.0,as2422,True
296,5.0,as3181,True
297,5.0,as2424,True
298,5.0,ns509,True
299,5.0,ns5082,True
300,5.0,ns3019,True
301,5.0,ns3026,True
302,5.0,ns3030,True
303,5.0,ns3072,True
304,5.0,ns3081,True
305,5.0,ns3086,True
306,5.0,ns3119,True
307,5.0,as2446,True
308,5.0,as2447,True
309,5.0,ns3134,True
310,5.0,as2454,True
311,5.0,as310,True
312,5.0,ns4989,True
313,5.0,ns4708,True
314,5.0,ns3726,True
315,5.0,ns5912,True
316,5.0,ns4278,True
317,5.0,as2615,True
318,5.0,ns4043,True
319,5.0,ns4110,True
320,5.0,as2770,True
321,5.0,ns4118,True
322,5.0,ns4136,True
323,5.0,ns4172,True
324,5.0,as2628,True
325,5.0,as2740,True
326,5.0,ns4515,True
327,5.0,as2739,True
328,5.0,as2735,True
329,5.0,ns4263,True
330,5.0,as2713,True
331,5.0,as2905,True
332,5.0,ns43,True
333,5.0,as2705,True
334,5.0,ns431,True
335,5.0,ns4319,True
336,5.0,ns4356,True
337,5.0,ns444,True
338,5.0,ns4366,True
339,5.0,ns4367,True
340,5.0,ns4369,True
341,5.0,ns4374,True
342,5.0,ns4421,True
343,5.0,ns4420,True
344,5.0,ns4379,True
345,5.0,as2613,True
346,5.0,ns4021,True
347,5.0,as2791,True
348,5.0,ns401,True
349,5.0,ns47,True
350,5.0,ns469,True
351,5.0,ns3796,True
352,5.0,ns3814,True
353,5.0,ns382,True
354,5.0,ns4666,True
355,5.0,ns4665,True
356,5.0,as2878,True
357,5.0,ns3831,True
358,5.0,ns3841,True
359,5.0,ns3844,True
360,5.0,ns3902,True
361,5.0,ns4642,True
362,5.0,as2583,True
363,5.0,as2849,True
364,5.0,as284,True
365,5.0,as2589,True
366,5.0,ns3951,True
367,5.0,as2827,True
368,5.0,ns3954,True
369,5.0,ns4592,True
370,5.0,ns3978,True
371,5.0,ns399,True
372,5.0,ns4575,True
373,5.0,ns4568,True
374,5.0,ns4566,True
375,5.0,ns3995,True
376,5.0,ns5155,True
377,5.0,ns5160,True
378,5.0,ns2813,True
379,5.0,as3687,True
380,5.0,as3758,True
381,5.0,as2196,True
382,5.0,ns5763,True
383,5.0,ns1444,True
384,5.0,ns1447,True
385,5.0,ns1485,True
386,5.0,as373,True
387,5.0,ns1509,True
388,5.0,ns1517,True
389,5.0,ns1542,True
390,5.0,as2212,True
391,5.0,ns1602,True
392,5.0,ns1618,True
393,5.0,as2220,True
394,5.0,ns2811,True
395,5.0,as2225,True
396,5.0,as2227,True
397,5.0,ns1682,True
398,5.0,ns1695,True
399,5.0,ns1710,True
400,5.0,ns1719,True
401,5.0,ns1728,True
402,5.0,ns1774,True
403,5.0,ns5639,True
404,5.0,as3629,True
405,5.0,ns5626,True
406,5.0,ns1793,True
407,5.0,ns5608,True
408,5.0,ns1408,True
409,5.0,ns1399,True
410,5.0,ns5781,True
411,5.0,ns5785,True
412,5.0,ns1152,True
413,5.0,ns1162,True
414,5.0,ns1167,True
415,5.0,ns5901,True
416,5.0,as3865,True
417,5.0,ns1171,True
418,5.0,as2142,True
419,5.0,ns1179,True
420,5.0,ns1182,True
421,5.0,ns1216,True
422,5.0,ns122,True
423,5.0,ns586,True
424,5.0,ns1250,True
425,5.0,ns126,True
426,5.0,ns1261,True
427,5.0,ns1274,True
428,5.0,as2166,True
429,5.0,ns5832,True
430,5.0,ns583,True
431,5.0,ns1284,True
432,5.0,ns5820,True
433,5.0,ns582,True
434,5.0,ns13,True
435,5.0,ns5811,True
436,5.0,ns1319,True
437,5.0,as3799,True
438,5.0,ns1349,True
439,5.0,ns5606,True
440,5.0,as3604,True
441,5.0,as3590,True
442,5.0,ns2420,True
443,5.0,ns2468,True
444,5.0,as3376,True
445,5.0,ns5381,True
446,5.0,ns2483,True
447,5.0,ns2527,True
448,5.0,ns2531,True
449,5.0,as2346,True
450,5.0,as3341,True
451,5.0,ns2560,True
452,5.0,as334,True
453,5.0,ns2561,True
454,5.0,ns5330,True
455,5.0,as3330,True
456,5.0,as3328,True
457,5.0,ns5303,True
458,5.0,as2367,True
459,5.0,ns2633,True
460,5.0,ns527,True
461,5.0,as33,True
462,5.0,ns2673,True
463,5.0,as2378,True
464,5.0,ns27,True
465,5.0,ns5230,True
466,5.0,ns5199,True
467,5.0,ns2747,True
468,5.0,ns2770,True
469,5.0,ns2791,True
470,5.0,ns2449,True
471,5.0,ns241,True
472,5.0,ns1914,True
473,5.0,as3412,True
474,5.0,ns1956,True
475,5.0,as3554,True
476,5.0,as3534,True
477,5.0,ns2062,True
478,5.0,ns2069,True
479,5.0,ns5541,True
480,5.0,as3515,True
481,5.0,ns2106,True
482,5.0,ns2161,True
483,5.0,as2299,True
484,5.0,ns2175,True
485,5.0,as3471,True
486,5.0,ns2252,True
487,5.0,as3452,True
488,5.0,ns5468,True
489,5.0,ns2299,True
490,5.0,as344,True
491,5.0,as3438,True
492,5.0,as3436,True
493,5.0,ns2303,True
494,5.0,ns545,True
495,5.0,as3429,True
496,5.0,ns2308,True
497,5.0,ns2315,True
498,5.0,ns2326,True
499,5.0,as3415,True
500,5.0,ns5418,True
501,5.0,ns7562,True
502,5.0,as4559,True
503,5.0,as2676,True
504,5.0,ns8076,True
505,5.0,as8640,True
506,5.0,as8697,True
507,5.0,as5713,True
508,5.0,as7411,True
509,5.0,ns8757,True
510,5.0,as7410,True
511,5.0,ns7829,True
512,5.0,as7403,True
513,5.0,as7401,True
514,5.0,as7393,True
515,5.0,as8702,True
516,5.0,as1138,True
517,5.0,as6345,True
518,5.0,as5702,True
519,5.0,as953,True
520,5.0,as6185,True
521,5.0,as1443,True
522,5.0,as9498,True
523,5.0,as5692,True
524,5.0,ns8750,True
525,5.0,as879,True
526,5.0,as6944,True
527,5.0,ns8059,True
528,5.0,as7302,True
529,5.0,as8808,True
530,5.0,as1439,True
531,5.0,ns805,True
532,5.0,as9414,True
533,5.0,as7426,True
534,5.0,as8601,True
535,5.0,as7609,True
536,5.0,as7078,True
537,5.0,as6797,True
538,5.0,as5378,True
539,5.0,as7607,True
540,5.0,ns8161,True
541,5.0,as8513,True
542,5.0,as7598,True
543,5.0,as7594,True
544,5.0,as7590,True
545,5.0,as756,True
546,5.0,as9603,True
547,5.0,as8539,True
548,5.0,as1470,True
549,5.0,as960,True
550,5.0,as9596,True
551,5.0,as8587,True
552,5.0,as7553,True
553,5.0,as959,True
554,5.0,as6856,True
555,5.0,as7552,True
556,5.0,as9577,True
557,5.0,as9571,True
558,5.0,as8560,True
559,5.0,as6371,True
560,5.0,as7526,True
561,5.0,ns8563,True
562,5.0,as1152,True
563,5.0,as747,True
564,5.0,as6886,True
565,5.0,as6204,True
566,5.0,as7285,True
567,5.0,as5482,True
568,5.0,ns790,True
569,5.0,as552,True
570,5.0,as5520,True
571,5.0,as563,True
572,5.0,as1376,True
573,5.0,as9275,True
574,5.0,as9271,True
575,5.0,as5528,True
576,5.0,ns8695,True
577,5.0,as8958,True
578,5.0,as9004,True
579,5.0,as5601,True
580,5.0,as1405,True
581,5.0,as6297,True
582,5.0,ns867,True
583,5.0,ns7844,True
584,5.0,as9251,True
585,5.0,ns8689,True
586,5.0,as6290,True
587,5.0,as9073,True
588,5.0,as7064,True
589,5.0,ns7959,True
590,5.0,ns7913,True
591,5.0,as9102,True
592,5.0,as5538,True
593,5.0,as9205,True
594,5.0,ns7926,True
595,5.0,as9122,True
596,5.0,as1101,True
597,5.0,as9283,True
598,5.0,ns80,True
599,5.0,as9303,True
600,5.0,as7129,True
601,5.0,as7268,True
602,5.0,as8813,True
603,5.0,as9379,True
604,5.0,as5486,True
605,5.0,as5495,True
606,5.0,ns863,True
607,5.0,as7254,True
608,5.0,ns8040,True
609,5.0,as885,True
610,5.0,ns8645,True
611,5.0,ns803,True
612,5.0,as5501,True
613,5.0,as1359,True
614,5.0,as6996,True
615,5.0,as9333,True
616,5.0,as7223,True
617,5.0,ns8736,True
618,5.0,as9331,True
619,5.0,as8865,True
620,5.0,as5505,True
621,5.0,as6237,True
622,5.0,as9307,True
623,5.0,as1363,True
624,5.0,as8898,True
625,5.0,ns7875,True
626,5.0,as5644,True
627,5.0,ns8005,True
628,5.0,as9666,True
629,5.0,as5774,True
630,5.0,as8500,True
631,5.0,as5945,True
632,5.0,ds1265,True
633,5.0,as593,True
634,5.0,as8086,True
635,5.0,as6463,True
636,5.0,ns941,True
637,5.0,as8095,True
638,5.0,as8098,True
639,5.0,ns7646,True
640,5.0,as663,True
641,5.0,as6631,True
642,5.0,as7876,True
643,5.0,as5911,True
644,5.0,as5286,True
645,5.0,ds1221,True
646,5.0,ns7659,True
647,5.0,ns7662,True
648,5.0,ns8278,True
649,5.0,as5907,True
650,5.0,ns8415,True
651,5.0,ns8274,True
652,5.0,as5899,True
653,5.0,as8477,True
654,5.0,as7851,True
655,5.0,ds1198,True
656,5.0,as8179,True
657,5.0,as6037,True
658,5.0,as8226,True
659,5.0,as6698,True
660,5.0,ns8250,True
661,5.0,ds1267,True
662,5.0,as6611,True
663,5.0,ds1124,True
664,5.0,ds1281,True
665,5.0,as1216,True
666,5.0,ns8378,True
667,5.0,as6493,True
668,5.0,as5993,True
669,5.0,ns7586,True
670,5.0,as1211,True
671,5.0,as7937,True
672,5.0,as6582,True
673,5.0,ns977,True
674,5.0,as7934,True
675,5.0,as6595,True
676,5.0,ns8356,True
677,5.0,ds1361,True
678,5.0,as5974,True
679,5.0,ns8349,True
680,5.0,ns7609,True
681,5.0,as7991,True
682,5.0,ns8334,True
683,5.0,as6600,True
684,5.0,as8001,True
685,5.0,ns8391,True
686,5.0,ds1326,True
687,5.0,ds1314,True
688,5.0,as8047,True
689,5.0,ns953,True
690,5.0,as6607,True
691,5.0,as1237,True
692,5.0,as7890,True
693,5.0,ds1284,True
694,5.0,ns8243,True
695,5.0,ns7937,True
696,5.0,as7774,True
697,5.0,as7630,True
698,5.0,as842,True
699,5.0,as1181,True
700,5.0,ds1079,True
701,5.0,as1284,True
702,5.0,as5817,True
703,5.0,as7772,True
704,5.0,as6069,True
705,5.0,as8372,True
706,5.0,as6710,True
707,5.0,as8330,True
708,5.0,as8345,True
709,5.0,as6743,True
710,5.0,ds102,True
711,5.0,ns8201,True
712,5.0,as6739,True
713,5.0,ds1077,True
714,5.0,ds1073,True
715,5.0,as6723,True
716,5.0,ns881,True
717,5.0,ds1076,True
718,5.0,as1282,True
719,5.0,ns7711,True
720,5.0,as7779,True
721,5.0,as8288,True
722,5.0,ds1093,True
723,5.0,ds1045,True
724,5.0,ns909,True
725,5.0,as6784,True
726,5.0,as5860,True
727,5.0,as5317,True
728,5.0,as1040,True
729,5.0,as532,True
730,5.0,as7808,True
731,5.0,as6783,True
732,5.0,as8471,True
733,5.0,ns8492,True
734,5.0,as6108,True
735,5.0,as6761,True
736,5.0,as5852,True
737,5.0,ds1083,True
738,5.0,ds1004,True
739,5.0,as8249,True
740,5.0,as1032,True
741,4.833333333333333,as6940,True
742,4.833333333333333,as1436,True
743,4.833333333333333,ns4631,True
744,4.833333333333333,as8873,True
745,4.833333333333333,ds122,True
746,4.75,ns257,True
747,4.75,as5966,True
748,4.75,ns1566,True
749,4.75,as4054,True
750,4.75,hs2893,True
751,4.75,as3105,True
752,4.75,hs2179,True
753,4.75,as9086,True
754,4.75,hs782,True
755,4.75,as9106,True
756,4.75,as2462,True
757,4.75,hs775,True
758,4.75,as8558,True
759,4.75,ns268,True
760,4.75,ns5604,True
761,4.75,ns6167,True
762,4.75,ns8063,True
763,4.75,hs2941,True
764,4.75,ns8242,True
765,4.75,ns5145,True
766,4.75,as1197,True
767,4.75,hs2779,True
768,4.75,as8162,True
769,4.75,as3187,True
770,4.75,ns2820,True
771,4.75,as4271,True
772,4.75,ns5101,True
773,4.75,ns2017,True
774,4.75,as866,True
775,4.75,as7224,True
776,4.75,hs393,True
777,4.75,as3560,True
778,4.75,as2437,True
779,4.75,as565,True
780,4.75,ns2694,True
781,4.75,as4382,True
782,4.75,as3980,True
783,4.75,ns3139,True
784,4.75,as2195,True
785,4.75,ns6171,True
786,4.75,ns6168,True
787,4.75,ns585,True
788,4.75,as6266,True
789,4.75,ds108,True
790,4.75,ns7370,True
791,4.75,ds64,True
792,4.75,ds283,True
793,4.75,as2917,True
794,4.75,ns4714,True
795,4.75,hs1296,True
796,4.75,as2922,True
797,4.75,as2612,True
798,4.75,ns7072,True
799,4.75,as6924,True
800,4.75,as5444,True
801,4.75,ds307,True
802,4.75,ds699,True
803,4.75,as4699,True
804,4.75,as2987,True
805,4.75,as1606,True
806,4.75,hs1632,True
807,4.75,hs1605,True
808,4.75,hs1574,True
809,4.75,as5129,True
810,4.75,as9336,True
811,4.75,ns744,True
812,4.75,ns3483,True
813,4.75,as6599,True
814,4.75,ns3449,True
815,4.75,as6813,True
816,4.75,as5394,True
817,4.75,ns332,True
818,4.75,as9580,True
819,4.75,hs200,True
820,4.75,ns3272,True
821,4.75,ns7773,True
822,4.75,ns4574,True
823,4.75,as6865,True
824,4.75,as9244,True
825,4.75,ns7218,True
826,4.75,ns3956,True
827,4.75,as97,True
828,4.75,ns3916,True
829,4.75,as2804,True
830,4.666666666666667,ds467,True
831,4.666666666666667,ns3558,True
832,4.666666666666667,as4086,True
833,4.666666666666667,hs2727,True
834,4.666666666666667,ns3498,True
835,4.666666666666667,ns8421,True
836,4.666666666666667,ds995,True
837,4.666666666666667,as8389,True
838,4.666666666666667,ds890,True
839,4.666666666666667,as8833,True
840,4.666666666666667,ns5863,True
841,4.666666666666667,as6124,True
842,4.666666666666667,ns4762,True
843,4.666666666666667,as7549,True
844,4.666666666666667,as4088,True
845,4.666666666666667,as9530,True
846,4.666666666666667,hs44,True
847,4.666666666666667,ns8766,True
848,4.666666666666667,ns8105,True
849,4.666666666666667,ns6253,True
850,4.666666666666667,as1597,True
851,4.666666666666667,as5779,True
852,4.666666666666667,hs376,True
853,4.666666666666667,ds574,True
854,4.666666666666667,ns3799,True
855,4.666666666666667,ns4682,True
856,4.666666666666667,ns6338,True
857,4.666666666666667,ns118,True
858,4.666666666666667,as7556,True
859,4.666666666666667,ds863,True
860,4.666666666666667,ns3434,True
861,4.666666666666667,ns6564,True
862,4.666666666666667,ns324,True
863,4.666666666666667,hs2423,True
864,4.666666666666667,ns4377,True
865,4.666666666666667,hs2074,True
866,4.666666666666667,ns1356,True
867,4.625,as4765,True
868,4.625,ns691,True
869,4.625,ns2065,True
870,4.625,as8947,True
871,4.625,ns5417,True
872,4.5,as3619,True
873,4.5,as7928,True
874,4.5,ns4340,True
875,4.5,ns4339,True
876,4.5,as6718,True
877,4.5,as362,True
878,4.5,as6,True
879,4.5,ns4349,True
880,4.5,ns233,True
881,4.5,as7734,True
882,4.5,as27,True
883,4.5,as6064,True
884,4.5,as6707,True
885,4.5,as7732,True
886,4.5,as6606,True
887,4.5,as6438,True
888,4.5,ns3996,True
889,4.5,as6701,True
890,4.5,as6052,True
891,4.5,ns4016,True
892,4.5,as7793,True
893,4.5,as7796,True
894,4.5,ns1804,True
895,4.5,as78,True
896,4.5,as2706,True
897,4.5,ns4353,True
898,4.5,as6014,True
899,4.5,as3414,True
900,4.5,as6583,True
901,4.5,ns3934,True
902,4.5,as6413,True
903,4.5,as6518,True
904,4.5,ns3941,True
905,4.5,as6562,True
906,4.5,ns1771,True
907,4.5,as6570,True
908,4.5,as2818,True
909,4.5,ns1777,True
910,4.5,ns3976,True
911,4.5,as764,True
912,4.5,as6571,True
913,4.5,ns2458,True
914,4.5,as7725,True
915,4.5,as6727,True
916,4.5,ns4354,True
917,4.5,as3626,True
918,4.5,ns2448,True
919,4.5,as6092,True
920,4.5,as2814,True
921,4.5,as7676,True
922,4.5,ns2385,True
923,4.5,ns2357,True
924,4.5,ns1792,True
925,4.5,as6077,True
926,4.5,ns1824,True
927,4.5,ns2344,True
928,4.5,as6006,True
929,4.5,ns2285,True
930,4.5,as7870,True
931,4.5,ns1902,True
932,4.5,as6685,True
933,4.5,as3371,True
934,4.5,ns1909,True
935,4.5,ns4271,True
936,4.5,ns4257,True
937,4.5,as668,True
938,4.5,as7868,True
939,4.5,as6654,True
940,4.5,as6453,True
941,4.5,ns4148,True
942,4.5,as3567,True
943,4.5,ns4152,True
944,4.5,as3506,True
945,4.5,as2758,True
946,4.5,as2754,True
947,4.5,as6653,True
948,4.5,ns4256,True
949,4.5,ns1946,True
950,4.5,ns1947,True
951,4.5,ns2005,True
952,4.5,ns1951,True
953,4.5,as355,True
954,4.5,as6651,True
955,4.5,ns196,True
956,4.5,ns4250,True
957,4.5,ns211,True
958,4.5,ns2125,True
959,4.5,as361,True
960,4.5,as7810,True
961,4.5,as2734,True
962,4.5,ns1832,True
963,4.5,as3605,True
964,4.5,as6700,True
965,4.5,as7902,True
966,4.5,ns1860,True
967,4.5,as6470,True
968,4.5,ns4287,True
969,4.5,as6045,True
970,4.5,ns1862,True
971,4.5,ns2251,True
972,4.5,ns2235,True
973,4.5,ns2195,True
974,4.5,ns1889,True
975,4.5,as3486,True
976,4.5,ns1871,True
977,4.5,ns2180,True
978,4.5,ns4036,True
979,4.5,ns2178,True
980,4.5,as7895,True
981,4.5,ns1882,True
982,4.5,as3587,True
983,4.5,as2784,True
984,4.5,as6690,True
985,4.5,as6033,True
986,4.5,as7838,True
987,4.5,ns2092,True
988,4.5,ns3250,True
989,4.5,as7625,True
990,4.5,as3143,True
991,4.5,ns3022,True
992,4.5,as7209,True
993,4.5,as3014,True
994,4.5,ns3070,True
995,4.5,ns3437,True
996,4.5,as7206,True
997,4.5,as3139,True
998,4.5,ns344,True
999,4.5,as6998,True
1000,4.5,ns3084,True
1001,4.5,as7006,True
1002,4.5,ns3436,True
1003,4.5,as7166,True
1004,4.5,ns3102,True
1005,4.5,as3013,True
1006,4.5,ns2977,True
1007,4.5,ns3427,True
1008,4.5,as3184,True
1009,4.5,ns2926,True
1010,4.5,ns3502,True
1011,4.5,as2993,True
1012,4.5,as2994,True
1013,4.5,as2995,True
1014,4.5,ns3493,True
1015,4.5,ns294,True
1016,4.5,as6994,True
1017,4.5,as3000,True
1018,4.5,as6215,True
1019,4.5,as318,True
1020,4.5,as7230,True
1021,4.5,ns2954,True
1022,4.5,as3167,True
1023,4.5,as3020,True
1024,4.5,as7025,True
1025,4.5,as2845,True
1026,4.5,as3073,True
1027,4.5,as3103,True
1028,4.5,as7060,True
1029,4.5,ns3302,True
1030,4.5,ns3299,True
1031,4.5,as3068,True
1032,4.5,ns3190,True
1033,4.5,as7101,True
1034,4.5,ns3351,True
1035,4.5,as6284,True
1036,4.5,as6272,True
1037,4.5,as6276,True
1038,4.5,as7087,True
1039,4.5,as3090,True
1040,4.5,as3082,True
1041,4.5,ns3335,True
1042,4.5,ns3168,True
1043,4.5,ns3387,True
1044,4.5,ns3376,True
1045,4.5,as7125,True
1046,4.5,as7114,True
1047,4.5,ns3123,True
1048,4.5,ns3127,True
1049,4.5,as7110,True
1050,4.5,as6304,True
1051,4.5,ns3151,True
1052,4.5,as3109,True
1053,4.5,ns3157,True
1054,4.5,as6303,True
1055,4.5,as7967,True
1056,4.5,ns3374,True
1057,4.5,as7040,True
1058,4.5,as3110,True
1059,4.5,as6960,True
1060,4.5,ns3512,True
1061,4.5,ns2903,True
1062,4.5,ns2649,True
1063,4.5,as2884,True
1064,4.5,ns2616,True
1065,4.5,ns3812,True
1066,4.5,as3314,True
1067,4.5,ns2631,True
1068,4.5,as2896,True
1069,4.5,ns3790,True
1070,4.5,ns2602,True
1071,4.5,ns2657,True
1072,4.5,ns2659,True
1073,4.5,as7496,True
1074,4.5,as2900,True
1075,4.5,as6370,True
1076,4.5,as6872,True
1077,4.5,ns2607,True
1078,4.5,as6855,True
1079,4.5,ns3538,True
1080,4.5,as3343,True
1081,4.5,as6791,True
1082,4.5,ns2492,True
1083,4.5,ns25,True
1084,4.5,ns391,True
1085,4.5,as2865,True
1086,4.5,ns2550,True
1087,4.5,as6398,True
1088,4.5,ns2586,True
1089,4.5,as6801,True
1090,4.5,as6816,True
1091,4.5,as6125,True
1092,4.5,as6845,True
1093,4.5,ns2567,True
1094,4.5,as6847,True
1095,4.5,ns3738,True
1096,4.5,as7441,True
1097,4.5,as7435,True
1098,4.5,as7334,True
1099,4.5,as7379,True
1100,4.5,as2949,True
1101,4.5,as693,True
1102,4.5,as323,True
1103,4.5,as7364,True
